,enrollee_id,company_size,company_type,target
0,8949,50through99,Pvt Ltd,1
1,29725,50through99,Pvt Ltd,0
2,11561,50through99,Pvt Ltd,0
4,666,50through99,Funded Startup,0
5,21651,50through99,Pvt Ltd,1
6,28806,50through99,Funded Startup,0
7,402,<10,Pvt Ltd,1
8,27107,50through99,Pvt Ltd,1
9,699,10000+,Pvt Ltd,0
10,29452,50through99,Pvt Ltd,1
11,23853,5000through9999,Pvt Ltd,0
12,25619,1000through4999,Pvt Ltd,0
14,8722,50through99,Pvt Ltd,0
15,6588,10through49,Pvt Ltd,0
16,4167,50through99,Pvt Ltd,0
17,5764,5000through9999,Pvt Ltd,0
18,2156,10000+,Pvt Ltd,1
19,11399,50through99,Pvt Ltd,1
20,31972,100through500,Pvt Ltd,0
21,19061,100through500,Pvt Ltd,0
22,6491,50through99,Pvt Ltd,0
23,7041,1000through4999,Pvt Ltd,0
24,22767,1000through4999,Pvt Ltd,0
25,14505,50through99,Pvt Ltd,0
26,17139,500through999,Pvt Ltd,1
27,28476,50through99,Pvt Ltd,0
28,21538,<10,Pvt Ltd,1
29,10408,50through99,Funded Startup,1
30,14928,100through500,Pvt Ltd,0
31,22293,5000through9999,Pvt Ltd,0
32,4324,50through99,Pvt Ltd,0
33,26966,100through500,Pvt Ltd,0
34,26494,5000through9999,Pvt Ltd,0
35,4866,10through49,Early Stage Startup,0
36,12726,10000+,Other,0
37,10164,100through500,Pvt Ltd,1
38,8612,50through99,Pvt Ltd,0
39,24659,50through99,Pvt Ltd,0
40,2547,1000through4999,Public Sector,0
41,13854,10through49,Pvt Ltd,0
42,31654,50through99,Early Stage Startup,1
43,13643,50through99,Pvt Ltd,0
44,5590,5000through9999,Pvt Ltd,1
45,22452,50through99,Pvt Ltd,1
46,9006,100through500,Pvt Ltd,1
47,25987,10000+,Public Sector,1
48,4476,50through99,Pvt Ltd,1
49,25103,10through49,Pvt Ltd,0
50,5568,50through99,Pvt Ltd,1
51,2195,100through500,Pvt Ltd,0
52,30533,10000+,Pvt Ltd,0
53,28512,<10,Early Stage Startup,0
54,1023,10000+,Pvt Ltd,0
55,12253,100through500,Pvt Ltd,0
56,25296,50through99,Early Stage Startup,0
57,13238,50through99,Pvt Ltd,0
59,18578,100through500,Pvt Ltd,1
60,29975,50through99,Pvt Ltd,0
61,26516,100through500,Pvt Ltd,0
63,8433,100through500,Pvt Ltd,0
65,5878,50through99,Pvt Ltd,1
66,25695,10000+,Pvt Ltd,0
67,9645,50through99,Pvt Ltd,0
68,12730,500through999,Public Sector,0
70,20970,50through99,Pvt Ltd,0
71,17271,50through99,Pvt Ltd,1
72,12731,10through49,Pvt Ltd,0
73,10908,100through500,Pvt Ltd,0
74,29117,50through99,Pvt Ltd,0
75,3686,100through500,Pvt Ltd,0
76,22683,50through99,Pvt Ltd,0
77,22134,100through500,Pvt Ltd,0
78,31765,10000+,Pvt Ltd,0
79,31449,<10,Early Stage Startup,0
80,5987,50through99,Pvt Ltd,0
81,21762,50through99,Pvt Ltd,0
82,22070,50through99,Pvt Ltd,0
83,25413,10through49,Pvt Ltd,0
84,5902,50through99,Funded Startup,0
85,28403,10through49,Early Stage Startup,0
86,30937,10through49,Pvt Ltd,0
87,28751,50through99,Pvt Ltd,0
88,29290,50through99,Public Sector,0
89,32401,100through500,Pvt Ltd,0
91,29036,50through99,Pvt Ltd,0
92,16869,100through500,Pvt Ltd,1
93,10497,10through49,Pvt Ltd,1
94,18099,100through500,NGO,0
95,12081,50through99,Pvt Ltd,0
96,7364,100through500,Pvt Ltd,0
