,enrollee_id,education_level,major_discipline,target
0,8949,Graduate,STEM,1
1,29725,Graduate,STEM,0
2,11561,Graduate,STEM,0
4,666,Masters,STEM,0
5,21651,Graduate,STEM,1
6,28806,High School,STEM,0
7,402,Graduate,STEM,1
8,27107,Graduate,STEM,1
9,699,Graduate,STEM,0
10,29452,High School,STEM,1
11,23853,Graduate,STEM,0
12,25619,Graduate,STEM,0
14,8722,High School,STEM,0
15,6588,Graduate,STEM,0
16,4167,Graduate,STEM,0
17,5764,Graduate,STEM,0
18,2156,Graduate,STEM,1
19,11399,Graduate,Arts,1
20,31972,Masters,STEM,0
21,19061,Masters,STEM,0
22,6491,Masters,STEM,0
23,7041,Graduate,Humanities,0
24,22767,Graduate,STEM,0
25,14505,High School,STEM,0
26,17139,Graduate,STEM,1
27,28476,Graduate,Arts,0
28,21538,High School,STEM,1
29,10408,Graduate,STEM,1
30,14928,Graduate,STEM,0
31,22293,Graduate,STEM,0
32,4324,Graduate,STEM,0
33,26966,Graduate,STEM,0
34,26494,Graduate,Business Degree,0
35,4866,Graduate,STEM,0
36,12726,High School,STEM,0
37,10164,Phd,STEM,1
38,8612,Graduate,STEM,0
39,24659,Graduate,STEM,0
40,2547,Masters,STEM,0
41,13854,High School,STEM,0
42,31654,Masters,STEM,1
43,13643,Graduate,No Major,0
44,5590,Masters,STEM,1
45,22452,Masters,STEM,1
46,9006,Graduate,STEM,1
47,25987,Graduate,STEM,1
48,4476,Graduate,No Major,1
49,25103,Graduate,STEM,0
50,5568,Graduate,STEM,1
51,2195,Graduate,STEM,0
52,30533,Graduate,Humanities,0
53,28512,Masters,STEM,0
54,1023,High School,STEM,0
55,12253,Graduate,STEM,0
56,25296,Graduate,STEM,0
57,13238,Graduate,STEM,0
59,18578,Graduate,Humanities,1
60,29975,Graduate,STEM,0
61,26516,Graduate,STEM,0
63,8433,Masters,Humanities,0
65,5878,Graduate,STEM,1
66,25695,Masters,Humanities,0
67,9645,Graduate,STEM,0
68,12730,Masters,Humanities,0
70,20970,Graduate,STEM,0
71,17271,Graduate,STEM,1
72,12731,Graduate,STEM,0
73,10908,Masters,STEM,0
74,29117,Graduate,STEM,0
75,3686,Graduate,STEM,0
76,22683,Masters,STEM,0
77,22134,Graduate,Humanities,0
78,31765,Graduate,STEM,0
79,31449,Masters,STEM,0
80,5987,Graduate,STEM,0
81,21762,Graduate,STEM,0
82,22070,Graduate,STEM,0
83,25413,Graduate,STEM,0
84,5902,Masters,STEM,0
85,28403,Graduate,STEM,0
86,30937,Graduate,STEM,0
87,28751,High School,STEM,0
88,29290,Masters,STEM,0
89,32401,Graduate,STEM,0
91,29036,High School,STEM,0
92,16869,Graduate,Humanities,1
93,10497,Graduate,STEM,1
94,18099,Graduate,STEM,0
95,12081,Graduate,STEM,0
96,7364,High School,STEM,0
97,11184,Graduate,STEM,0
98,7016,Graduate,STEM,1
99,8695,Graduate,STEM,1
100,6172,Graduate,STEM,1
101,14672,Masters,STEM,0
102,18257,Graduate,STEM,0
103,24493,Graduate,STEM,0
104,1180,Graduate,STEM,0
105,28627,Graduate,STEM,0
106,8168,Masters,STEM,0
107,10473,Graduate,STEM,1
108,25349,Graduate,STEM,0
109,5220,Graduate,Other,0
110,4789,Graduate,STEM,0
111,11338,Graduate,STEM,0
112,27963,Graduate,STEM,1
113,8571,Graduate,STEM,0
114,16303,Masters,STEM,0
115,20576,Graduate,STEM,0
116,32966,Graduate,STEM,1
117,21199,Graduate,STEM,0
118,18819,Graduate,STEM,0
119,14199,Graduate,Business Degree,0
120,7666,Graduate,STEM,0
121,13915,Phd,STEM,1
122,10555,Graduate,STEM,0
123,16040,Graduate,STEM,0
124,32826,Masters,STEM,0
125,13253,Graduate,STEM,0
126,15637,Graduate,Humanities,0
127,28074,Graduate,STEM,0
128,23012,Masters,STEM,0
129,16110,Graduate,STEM,1
