,enrollee_id,relevent_experience,experience,last_new_job,target
0,8949,Has relevent experience,20,1,1
1,29725,No relevent experience,15,5,0
2,11561,No relevent experience,5,0,0
4,666,Has relevent experience,20,4,0
5,21651,Has relevent experience,11,1,1
6,28806,Has relevent experience,5,1,0
7,402,Has relevent experience,13,5,1
8,27107,Has relevent experience,7,1,1
9,699,Has relevent experience,17,5,0
10,29452,No relevent experience,2,0,1
11,23853,Has relevent experience,5,1,0
12,25619,Has relevent experience,20,3,0
14,8722,No relevent experience,5,0,0
15,6588,Has relevent experience,16,5,0
16,4167,Has relevent experience,1,0,0
17,5764,Has relevent experience,2,2,0
18,2156,Has relevent experience,7,0,1
19,11399,Has relevent experience,4,1,1
20,31972,Has relevent experience,11,1,0
21,19061,Has relevent experience,11,2,0
22,6491,Has relevent experience,10,1,0
23,7041,Has relevent experience,0,1,0
24,22767,Has relevent experience,5,1,0
25,14505,No relevent experience,4,0,0
26,17139,Has relevent experience,14,1,1
27,28476,Has relevent experience,5,2,0
28,21538,Has relevent experience,11,1,1
29,10408,Has relevent experience,18,2,1
30,14928,Has relevent experience,20,3,0
31,22293,Has relevent experience,19,5,0
32,4324,No relevent experience,5,1,0
33,26966,Has relevent experience,20,5,0
34,26494,Has relevent experience,12,3,0
35,4866,Has relevent experience,10,2,0
36,12726,No relevent experience,1,1,0
37,10164,Has relevent experience,20,4,1
38,8612,No relevent experience,12,4,0
39,24659,No relevent experience,3,0,0
40,2547,Has relevent experience,16,2,0
41,13854,Has relevent experience,4,2,0
42,31654,Has relevent experience,6,1,1
43,13643,No relevent experience,9,0,0
44,5590,Has relevent experience,9,3,1
45,22452,No relevent experience,5,0,1
46,9006,Has relevent experience,5,0,1
47,25987,Has relevent experience,19,4,1
48,4476,Has relevent experience,15,5,1
49,25103,Has relevent experience,11,1,0
50,5568,No relevent experience,4,1,1
51,2195,Has relevent experience,10,2,0
52,30533,No relevent experience,5,5,0
53,28512,Has relevent experience,3,2,0
54,1023,No relevent experience,4,1,0
55,12253,Has relevent experience,20,1,0
56,25296,Has relevent experience,2,2,0
57,13238,Has relevent experience,20,2,0
59,18578,Has relevent experience,20,5,1
60,29975,Has relevent experience,6,1,0
61,26516,Has relevent experience,6,3,0
63,8433,Has relevent experience,20,5,0
65,5878,Has relevent experience,10,2,1
66,25695,No relevent experience,4,4,0
67,9645,Has relevent experience,15,5,0
68,12730,Has relevent experience,14,1,0
70,20970,Has relevent experience,20,4,0
71,17271,No relevent experience,0,0,1
72,12731,Has relevent experience,2,1,0
73,10908,Has relevent experience,5,1,0
74,29117,No relevent experience,0,0,0
75,3686,Has relevent experience,5,2,0
76,22683,Has relevent experience,5,2,0
77,22134,No relevent experience,3,1,0
78,31765,No relevent experience,9,3,0
79,31449,Has relevent experience,2,1,0
80,5987,Has relevent experience,15,5,0
81,21762,Has relevent experience,20,2,0
82,22070,No relevent experience,20,1,0
83,25413,Has relevent experience,5,1,0
84,5902,Has relevent experience,4,1,0
85,28403,Has relevent experience,15,1,0
86,30937,No relevent experience,0,2,0
87,28751,No relevent experience,4,3,0
88,29290,No relevent experience,11,2,0
89,32401,Has relevent experience,6,1,0
91,29036,No relevent experience,3,0,0
92,16869,No relevent experience,3,1,1
93,10497,Has relevent experience,5,2,1
94,18099,Has relevent experience,10,1,0
95,12081,Has relevent experience,9,1,0
96,7364,No relevent experience,2,1,0
97,11184,No relevent experience,2,1,0
98,7016,Has relevent experience,6,2,1
99,8695,Has relevent experience,6,2,1
100,6172,Has relevent experience,8,1,1
101,14672,No relevent experience,20,1,0
102,18257,Has relevent experience,11,5,0
103,24493,Has relevent experience,5,1,0
104,1180,Has relevent experience,12,1,0
105,28627,Has relevent experience,20,2,0
106,8168,Has relevent experience,9,2,0
107,10473,Has relevent experience,2,2,1
108,25349,Has relevent experience,20,5,0
109,5220,Has relevent experience,20,4,0
110,4789,Has relevent experience,8,1,0
111,11338,Has relevent experience,10,1,0
112,27963,No relevent experience,4,1,1
113,8571,Has relevent experience,2,2,0
114,16303,Has relevent experience,6,1,0
115,20576,Has relevent experience,20,5,0
116,32966,Has relevent experience,3,2,1
117,21199,Has relevent experience,7,1,0
118,18819,Has relevent experience,9,4,0
119,14199,Has relevent experience,10,1,0
120,7666,Has relevent experience,11,5,0
121,13915,Has relevent experience,20,2,1
122,10555,Has relevent experience,12,2,0
123,16040,Has relevent experience,6,1,0
124,32826,Has relevent experience,7,1,0
125,13253,Has relevent experience,11,2,0
126,15637,Has relevent experience,3,1,0
127,28074,Has relevent experience,20,5,0
128,23012,No relevent experience,15,1,0
129,16110,Has relevent experience,6,3,1
130,3921,No relevent experience,20,5,0
131,24530,No relevent experience,12,5,0
132,1924,Has relevent experience,20,3,0
133,32776,Has relevent experience,20,4,0
134,1907,No relevent experience,2,0,0
136,3116,No relevent experience,3,1,0
137,24829,No relevent experience,3,1,1
138,30488,No relevent experience,2,1,0
139,1265,Has relevent experience,10,1,0
140,22098,No relevent experience,5,4,1
141,13342,Has relevent experience,8,2,0
142,24608,No relevent experience,9,2,0
143,20081,No relevent experience,20,5,0
144,24796,Has relevent experience,20,5,0
145,7777,Has relevent experience,20,0,0
146,22718,Has relevent experience,14,5,0
147,1261,Has relevent experience,12,2,1
148,3396,Has relevent experience,6,0,0
149,4283,No relevent experience,4,0,0
150,18998,Has relevent experience,9,4,0
151,2003,Has relevent experience,4,1,1
152,31786,No relevent experience,20,5,0
153,8241,Has relevent experience,11,1,0
154,12154,Has relevent experience,20,5,0
155,23455,Has relevent experience,6,4,1
156,19882,Has relevent experience,15,5,0
157,28817,Has relevent experience,14,3,1
158,4656,No relevent experience,6,0,0
159,7280,Has relevent experience,13,1,0
160,16903,Has relevent experience,17,1,0
161,13333,Has relevent experience,20,0,0
162,26241,Has relevent experience,20,2,0
163,12381,No relevent experience,6,5,0
164,4064,Has relevent experience,18,1,1
165,32092,Has relevent experience,15,5,0
166,3766,No relevent experience,20,5,0
167,30496,Has relevent experience,20,5,0
168,7189,Has relevent experience,20,1,0
169,29497,Has relevent experience,20,5,1
170,31593,Has relevent experience,10,4,0
172,11986,Has relevent experience,5,1,0
173,31033,No relevent experience,3,1,0
174,14835,Has relevent experience,2,1,0
175,3728,Has relevent experience,20,4,0
176,3024,Has relevent experience,20,1,0
177,23508,Has relevent experience,9,1,0
178,29457,Has relevent experience,20,1,0
179,12297,Has relevent experience,4,1,0
181,3065,Has relevent experience,20,1,0
182,29226,No relevent experience,6,0,0
183,5493,Has relevent experience,20,5,0
184,2891,Has relevent experience,20,0,0
185,32509,Has relevent experience,4,1,0
186,31841,Has relevent experience,10,5,1
187,907,Has relevent experience,20,5,0
188,29526,Has relevent experience,14,5,1
189,10956,Has relevent experience,15,1,0
190,26099,Has relevent experience,12,1,0
191,26163,No relevent experience,2,0,0
192,4120,No relevent experience,13,3,1
193,7335,No relevent experience,1,1,0
194,706,Has relevent experience,4,0,0
195,9890,Has relevent experience,14,2,0
196,32683,Has relevent experience,15,1,0
197,27104,Has relevent experience,20,0,0
198,7731,Has relevent experience,13,0,0
199,31943,Has relevent experience,20,2,0
200,22899,Has relevent experience,9,1,1
201,33339,No relevent experience,2,1,0
202,20866,Has relevent experience,7,1,0
203,21634,Has relevent experience,5,1,0
204,29529,Has relevent experience,3,1,1
206,32095,Has relevent experience,2,1,0
207,18272,Has relevent experience,20,5,1
208,30098,Has relevent experience,20,5,0
209,23825,No relevent experience,2,0,0
210,7672,Has relevent experience,0,1,1
211,5633,Has relevent experience,4,1,0
212,30695,No relevent experience,3,0,0
213,5573,No relevent experience,4,0,0
214,24936,Has relevent experience,3,1,0
215,397,Has relevent experience,5,4,0
216,31602,Has relevent experience,20,1,0
217,5278,No relevent experience,3,0,0
218,16814,Has relevent experience,20,5,0
219,19249,Has relevent experience,6,1,0
220,9475,Has relevent experience,9,5,0
221,4865,No relevent experience,20,5,0
222,20881,Has relevent experience,10,1,0
223,21563,Has relevent experience,3,1,0
225,26002,No relevent experience,2,0,1
226,8528,Has relevent experience,20,5,0
